NAME,STATE,DISTRICT,PARTY,EXPERIENCE,CHAMBER,VOTING_MEMBER,LEADERSHIP_PAC_1,LEADERSHIP_PAC_2,LEADERSHIP_PAC_3,LEADERSHIP_PAC_4,LEADERSHIP_PAC_1_ID,LEADERSHIP_PAC_1_NAME,LEADERSHIP_PAC_2_ID,LEADERSHIP_PAC_2_NAME,LEADERSHIP_PAC_3_ID,LEADERSHIP_PAC_3_NAME,LEADERSHIP_PAC_4_ID,LEADERSHIP_PAC_4_NAME
"Westerman, Bruce",Arkansas,4,Republican,incumbent,House,Y,Y,N,N,N,C00607721,Land of Opportunity PAC,,,,,,
"Boozman, John",Arkansas,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00413948,Arkansas for Leadership,,,,,,
"Cotton, Tom",Arkansas,At Large,Republican,incumbent,Senate,Y,Y,Y,N,N,C00296640,Republican Majority Fund,C00764878,REPUBLICAN MAJORITY FUND: STATE AND LOCAL,,,,
"LaMalfa, Doug",California,1,Republican,incumbent,House,Y,Y,N,N,N,C00576249,"NorCal Water, Jobs, Liberty",,,,,,
"Huffman, Jared",California,2,Democratic,incumbent,House,Y,Y,N,N,N,C00564260,Clean PAC,,,,,,
"Kiley, Kevin",California,3,Republican,freshman,House,Y,Y,N,N,N,C00818328,KEVPAC,,,,,,
"Thompson, Mike",California,4,Democratic,incumbent,House,Y,Y,N,N,N,C00378695,Victory in November Election PAC,,,,,,
"McClintock, Tom",California,5,Republican,incumbent,House,Y,Y,N,N,N,C00461137,Taking Our Majority PAC,,,,,,
"Bera, Ami",California,6,Democratic,incumbent,House,Y,Y,N,N,N,C00561779,American Innovation PAC,,,,,,
"Matsui, Doris O.",California,7,Democratic,incumbent,House,Y,Y,N,N,N,C00165548,SAC PAC,,,,,,
"Garamendi, John",California,8,Democratic,incumbent,House,Y,Y,N,N,N,C00495705,Make It In America PAC,,,,,,
"Harder, Josh",California,9,Democratic,incumbent,House,Y,Y,N,N,N,C00705368,Working Harder PAC,,,,,,
"DeSaulnier, Mark",California,10,Democratic,incumbent,House,Y,Y,N,N,N,C00589606,MOVING OUR NATION FORWARD PAC,,,,,,
"Pelosi, Nancy",California,11,Democratic,incumbent,House,Y,Y,N,N,N,C00344234,PAC to the Future,,,,,,
"Lee, Barbara",California,12,Democratic,incumbent,House,Y,Y,N,N,N,C00403071,One Voice,,,,,,
"Duarte, John S.",California,13,Republican,freshman,House,Y,Y,N,N,N,C00818344,FARMER PAC,,,,,,
"Swalwell, Eric",California,14,Democratic,incumbent,House,Y,Y,N,N,N,C00566059,New Energy PAC,,,,,,
"Mullin, Kevin",California,15,Democratic,freshman,House,Y,Y,N,N,N,C00867978,GOLDEN STATE DEMOCRACY PAC,,,,,,
"Eshoo, Anna G.",California,16,Democratic,incumbent,House,Y,N,N,N,N,,,,,,,,
"Khanna, Ro",California,17,Democratic,incumbent,House,Y,N,N,N,N,,,,,,,,
"Lofgren, Zoe",California,18,Democratic,incumbent,House,Y,Y,N,N,N,C00343574,Mainstream PAC,,,,,,
"Panetta, Jimmy",California,19,Democratic,incumbent,House,Y,Y,N,N,N,C00680132,JOINING IDEAS TO MOTIVATE MOVEMENT FOR YOU (JIMMY PAC),,,,,,
"Fong, Vince",California,20,Republican,freshman,House,Y,Y,,,,C00881490,"For Our Nation's Greatness, Resilience, Excellence, Strength, and Security (FONGRESS) PAC",,,,,,
"Costa, Jim",California,21,Democratic,incumbent,House,Y,Y,N,N,N,C00614917,Valley First Leadership PAC,,,,,,
"Valadao, David G.",California,22,Republican,incumbent,House,Y,Y,N,N,N,C00712695,Vitoria PAC,,,,,,
"Obernolte, Jay",California,23,Republican,incumbent,House,Y,Y,N,N,N,C00752790,Jobs and the Economy PAC,,,,,,
"Carbajal, Salud O.",California,24,Democratic,incumbent,House,Y,Y,N,N,N,C00656132,Serving Our Country PAC,,,,,,
"Ruiz, Raul",California,25,Democratic,incumbent,House,Y,Y,Y,N,N,C00569871,DR RAUL PAC,C00887588,DEMOCRATS VOTE,,,,
"Brownley, Julia",California,26,Democratic,incumbent,House,Y,Y,Y,Y,N,C00567495,Jobs Unite Labor & Industry in America,C00868307,Protect Democracy Project,C00886978,Freedom Democrats.,,
"Garcia, Mike",California,27,Republican,incumbent,House,Y,Y,N,N,N,C00742346,Get America Right– Community in Action - Garcia PAC ,,,,,,
